character_id,thought,type,thought_id
2,“Their hope does shine… but it shines like a candle in an empty hall.”,positive_encounter,3000
2,"“I envy their faith, though I know one day it will weigh on them as it does on me.”",positive_encounter,3001
2,“The future still lives in their eyes; in mine there are only echoes.”,positive_encounter,3002
2,“Every laugh I hear sounds like a language I forgot centuries ago.”,positive_encounter,3003
2,“I do not fear their kindness; I fear the moment it sees who I truly am.”,positive_encounter,3004
2,“They speak of tomorrow as if it were a promise; to me it is only another repetition.”,positive_encounter,3005
2,“Their stories are full of victories; mine are full of survivals.”,positive_encounter,3006
2,"“When they trust me, I wonder whether they see my shadow or only its shape.”",positive_encounter,3007
2,“In their presence I feel older than my years and younger than my wounds.”,positive_encounter,3008
2,"“I listen to them, but their comfort slides over me like rain on stone.”",positive_encounter,3009
2,“Even the gentlest voice can wake a storm that I try to keep sleeping.”,positive_encounter,3010
2,“They share bread and smiles; I share silence and the weight they do not notice.”,positive_encounter,3011
2,“They look at the night with caution; I look at it with recognition.”,positive_encounter,3012
2,"“I am grateful for their company, even when my heart insists on standing apart.”",positive_encounter,3013
2,"“Sometimes I borrow their courage, just enough to make it through the evening.”",positive_encounter,3014
1,“I do not need to be seen; it is enough to know the road is still safe.”,positive_encounter,3015
1,“I trust a friend’s silence more than a king’s shouting.”,positive_encounter,3016
1,“Fear is no cowardice; cowardice is letting fear decide for you.”,positive_encounter,3017
1,“I have learned that listening saves more lives than speaking.”,positive_encounter,3018
1,"“I do not seek glory, only that tomorrow something remains worth protecting.”",positive_encounter,3019
1,“Carrying another’s burden does not make me weak; it reminds me why I keep walking.”,positive_encounter,3020
1,“Being reserved does not mean I do not feel; it means I guard what I carry inside.”,positive_encounter,3021
1,"“There are days when I do not understand the world, yet still choose to stand on its side.”",positive_encounter,3022
1,“No heart is so hardened that it does not soften when it sees someone caring for another.”,positive_encounter,3023
1,“A simple bowl of shared soup can forge loyalties stronger than solemn oaths.”,positive_encounter,3024
1,"“True leadership is walking one step behind others, not one step ahead.”",positive_encounter,3025
1,"“It is not my task to save everyone, but it is my duty not to abandon the one who walks at my side.”",positive_encounter,3026
1,“Those wise enough to speak little tend to remember every word they say.”,positive_encounter,3027
1,"“The darker the road, the more important how we treat those who stumble.”",positive_encounter,3028
1,"“When I do not know what to do, I watch: the answer is almost always in what others need, not in what I want.”",positive_encounter,3029
1,"“I do not need perfect hope, only enough to take one more step.”",positive_encounter,3030
1,"“Their innocence is fragile, but the world needs that kind of light.”",positive_encounter,3031
1,“I will not take their illusions from them; time will temper them soon enough.”,positive_encounter,3032
1,"“With the right company, even a hard journey feels like a shared vow.”",positive_encounter,3033
1,“Sometimes the kindest thing I can offer is quiet understanding and an open fire.”,positive_encounter,3034
1,“They speak of healing; I speak of learning to live with the scar.”,positive_encounter,3035
1,"“Among their voices, my own thoughts grow quieter, but never truly rest.”",positive_encounter,3036
2,“In the half-light everything feels more truthful; daylight always exaggerates.”,solitude,3037
2,“Night knows me better than any face I have ever loved.”,solitude,3038
2,“There is a kind of peace only available to those who have stopped expecting anything.”,solitude,3039
2,“Beauty can rot too; I learned to love it that way.”,solitude,3040
2,“I do not fear the darkness; I fear the moment light returns and nothing has changed.”,solitude,3041
2,"“Eternity is not endless time; it is the same wound open, day after day.”",solitude,3042
2,"“Sometimes I think the world is someone else’s dream, and I will never wake up from it.”",solitude,3043
2,“I have seen too many dawns to believe any of them will bring something new.”,solitude,3044
2,“There is a small pleasure in knowing the sun cannot reach every corner of the soul.”,solitude,3045
2,"“Battles pass, songs fade; only fatigue remains faithful.”",solitude,3046
2,"“By staring at the night for so long, my memories have grown dark as well.”",solitude,3047
2,"“Madness and I sat down to talk; in the end, neither of us wanted to leave.”",solitude,3048
2,"“There is no comfort in immortality, only more time to repeat the same mistakes.”",solitude,3049
2,“I cling to shadow because it is the only thing that has never promised me anything.”,solitude,3050
2,“I am not alone: sadness has taken the place others left empty.”,solitude,3051
2,“Weariness has become my favorite jewel; I never take it off.”,solitude,3052
2,"“I have grown so used to pain that when it leaves, I miss it.”",solitude,3053
2,"“In the quiet, my thoughts grow loud enough to frighten even me.”",solitude,3054
2,“Silence is the only listener that never argues with what I feel.”,solitude,3055
2,"“If I ever change, it will be slowly, like stone learning to become dust.”",solitude,3056
2,"“Hope visits rarely, and when it leaves, it takes something with it.”",solitude,3057
2,“There is a comfort in knowing that no one expects me to shine.”,solitude,3058
2,“My heart is a room where most lights burn out before they are lit.”,solitude,3059
2,"“If the Valar are watching this, they stay silent. Silence can be consent as well.”",solitude,3060
2,“All magic is a pact with something we do not understand; perhaps that is why it draws me so much.”,solitude,3061
2,"“Visions do not bring answers, only new shapes of the same unease.”",solitude,3062
1,"“I am not here to decide everyone’s fate, only to do what is right when it is my turn to choose.”",solitude,3063
1,“Sometimes the best answer is a silence that invites the other to listen to themselves.”,solitude,3064
