id,external_id,name,location_type,population,description,region,image_url,created_at,updated_at,geom,inhabitants,url_path,slug
895,0f7c547ffd39849d99de94f2d8d06762,Nobottle,town,,Nobottle was a small logging village just off the Fairwater road between Little Delving and Bywater. Its Cutters' Guild was known throughout the Westfarthing.,,,2026-05-13 04:41:07.022282,2026-05-13 04:41:07.022282,0101000020E61000008A98EA2B739F00C0CD8C92CC2ADB4940,,assets/locations,nobottle_895
1258,,Vamag,ruins,0.0,"Vamag is a coastal ruin of the mid-Second Age, said to have served as a retreat for Adûnaphel — believed by some to be one of the Nazgûl. The local Coastal Peoples refuse to approach it, declaring the site haunted. The walls stand dark and salt-worn above the cliffs, and the silence around them feels heavier than it should.",,,2026-06-09 01:08:28.098363,2026-06-09 01:08:28.098363,,,assets/locations,vamag_1258
959,92de3edf6a912695d755593861823454,Undrond,town,,"Udûdhrond ('Deep-hidden vault') was once a township of 4,300 on the west bank of the Gwathló, about eighty miles downriver from Tharbad. By the mid-Third Age its population had collapsed following the Great Plague and by T.A. 1970 the town was fully abandoned. What remains is a stretch of crumbling stone foundations along the riverbank, half-hidden by vegetation — a haunted silence where a busy market once stood.",,,2026-05-25 20:17:49.256207,2026-05-25 20:17:49.256207,0101000020E61000000DFEE33D3DAFFD3FBDB32F13E61C4840,,assets/locations,undrond_959
1098,,Ost-in-edhil,ruins,0.0,"Ost-in-Edhil was the great Elvish city of Eregion, founded in the Second Age by Galadriel and Celeborn and later the home of Celebrimbor the smith, who forged the Great Rings here. Its ruins still show the elegant stonework of the Gwaith-i-Mírdain craftsmen; broken archways and carved lintels half-buried in ivy suggest a settlement of rare sophistication. Nothing now inhabits those fallen halls but wind and the memory of what was lost when Sauron brought the city to ruin.",,,2026-06-02 16:26:31.032324,2026-06-02 16:26:31.032324,0101000020E6100000341762BD556D184037904B44C1534840,,assets/locations,ost_in_edhil_1098
1045,,Tolfalas,town,,,,,2026-05-31 21:38:58.976909,2026-05-31 21:38:58.976909,0101000020E61000002EDD57C7934F2840E36934571D6B4340,,assets/locations,tolfalas_1045
1046,,Ostara,town,,,,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E610000082E785E747FD2540D6B2A1FF1BDB4340,,assets/locations,ostara_1046
1047,,Eregost,town,,,,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E610000047872F47923E2640123800FE7B024440,,assets/locations,eregost_1047
1127,,Lindon,town,,,,,2026-06-02 16:42:35.351112,2026-06-02 16:42:35.351112,0101000020E6100000FB178A68309A2C40EEB0B089438A4440,,assets/locations,lindon_1127
1048,,Sarlond,town,,,,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E6100000CC44B56247532740913D31FADD2C4440,,assets/locations,sarlond_1048
1049,,Thonfalas,town,,,,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E6100000BD30B89AC99A2740BF790ADFE84B4440,,assets/locations,thonfalas_1049
1050,,Nargond,town,,,,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E61000003F04F3CFC8A62340A71B49F67F4C4440,,assets/locations,nargond_1050
1051,,Rama,town,,,,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E6100000824256ACFC3223404E7ACF5834774440,,assets/locations,rama_1051
1052,,Bar Algund,town,,"A small town of western Belfalas, lying close to the great seat of Dol Amroth and within the same Grithion. Bar Algund's stone houses and small harbour face the Bay of Belfalas; the town relies on fishing and on trade with the Prince's court nearby.",,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E61000006DF46660406C22407A75A9B73F924440,,assets/locations,bar_algund_1052
1198,,Caras Amarth,ruins,0.0,"Caras Amarth was the first palace of the Woodland Realm, built by King Oropher deep in the forest — a network of caverns carved into a hillside, lit within by lanterns. When Thranduil moved his court northward to the Aradhrynd, Caras Amarth was abandoned; by the mid-Third Age the forest has grown back over the old entrances and only the oldest Elves remember exactly where they lie.",,,2026-06-09 01:08:28.076605,2026-06-09 01:08:28.076605,,,assets/locations,caras_amarth_1198
1216,,Goblin-town,city,3100.0,"Goblin-town is a vast maze of natural caverns near the High Pass, occupied by Orcs since at least the Second Age. The tunnels connect Imladris to the eastern lands and give the Goblins an unmatched ability to ambush travellers crossing the Misty Mountains. Those who have entered and escaped describe a stench of smoke and filth, crowded galleries lit by smoky torches, and the constant noise of Orc voices. The Great Goblin rules here by fear and brute force.",,,2026-06-09 01:08:28.08359,2026-06-09 01:08:28.08359,,"70% Orcish, 5% Troll, 25% Mixed Mannish Slaves",assets/locations,goblin_town_1216
1054,,Emlin,town,,,,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E6100000B37A8A6DAC7131406034F490ACE84440,,assets/locations,emlin_1054
1055,,Bar Erui,town,,"A mountain hamlet of no more than thirty-five households in the foothills of the Blue Mountains, known as Eruimar or 'Lonely Home'. Though remote, it is easy enough to spot from a distance. Founded as a Dúnedain trading post for trappers and mountaineers, it retains that character in the mid-Third Age, with a small Laughing Brook running through the settlement. The tavern here can fill a long evening with wild tales from the hills.",,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E610000057B1BAF6283E3140FD6A249BE7064540,,assets/locations,bar_erui_1055
1056,,Imloth Melui,town,,,,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E6100000329FA31735CD304078A6BB7B5E4B4540,,assets/locations,imloth_melui_1056
1057,,Barad Othnir,town,,"A castle and small settlement in northeastern Harithilien, perched on a rocky spur of the western Ephel Dúath. Its tower overlooks the main road below, commanding a view of traffic between Ithilien and Mordor. The castle walls are of dark mountain stone. A small garrison and their families live in the shadow of the keep.",,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E610000000C0493E19C63240A85492A8297E4540,,assets/locations,barad_othnir_1057
1058,,Rianbar,town,,,,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E61000009FD4EB038849324068E37468792E4540,,assets/locations,rianbar_1058
1060,,Aludor,town,,"A small town in southwestern Harithilien, set halfway between Hyarpendë and Tir Ethraid on the road through the region. The town is notable as the seat of House Alagdor, one of Ithilien's ancient noble families, whose home castle Târik-Ûriyat rises on a rocky spur above the surrounding fields and olive groves. Stone houses with tiled roofs line the main road; the air carries the scent of herbs and cultivated terraces.",,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E6100000792324BEE2263140C92960ED7B544440,,assets/locations,aludor_1060
1061,,Bar Nepos,town,,"A small town and watchtower at the mouth of the river Nethos in southwestern Harithilien, home of the noble house of Nethos. The tower overlooks the river confluence and the road to Pelargir. The town's houses are compact and stone-built; the watchtower is the tallest structure for miles.",,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E6100000C4F5B45FF0DB30406B1106C6851A4440,,assets/locations,bar_nepos_1061
